,mean,max,var,0.25,0.5,0.75,max_day_1,max_day_2,max_day_3,max_day_4,max_day_5,max_day_6,max_day_7,mean_day_1,mean_day_2,mean_day_3,mean_day_4,mean_day_5,mean_day_6,mean_day_7,var_day_1,var_day_2,var_day_3,var_day_4,var_day_5,var_day_6,var_day_7,mean_day_var,hjorth_mobility,hjorth_complexity,dfa,pfd,permutation_entropy_n_3,permutation_entropy_n_4,above_0.7*max,above_0.8*max,above_0.9*max,above_0.7*mean,above_0.8*mean,above_0.9*mean,above_mean,hfd,abs_energy,augmented_dickey_fuller,cid_ce,autocorrelation,fft_centroid,fft_variance,fft_skew,fft_kurtosis,kurtosis,skewness,mean_change,mean_2_deriv_central,interdaily_stability,intradaily_variability
s0508205,47.98860317460318,671.18,5461.82718397983,0.04,15.415,69.905,671.18,348.22,645.85,395.58,482.04,385.86,490.21,73.18726388888889,36.570055555555555,55.05477083333333,41.58244444444445,52.50152083333334,36.36077777777778,40.66338888888889,11155.982685628707,2539.283872547294,8318.635417181655,3360.4542155632757,3899.6629920565447,3597.070792028417,4318.176416582503,177.5928066940977,0.005300189314031968,308.7842437939244,1.118410474588198,1.0198071805125366,2.4705216669316057,4.284773388176389,29.0,9.0,4.0,3810.0,3577.0,3356.0,3188.0,0.8282472318411769,78263049.0166,2.0632294968474488e-16,4706.803392717822,0.18920317697197525,1734.4604709239193,2394852.423762046,0.5618421654866966,6.744172315870532,10.005879517389241,2.688164109639591,0.0025508482984423065,0.004766818813256598,0.5550051632304109,0.4024359000303397
s0509113,18.897460317460318,295.22,1027.6169842825805,0.0,4.95,22.33,216.54,202.36,221.95,156.67,265.07,252.14,295.22,16.491923611111112,17.656069444444444,17.26578472222222,14.893451388888888,17.522590277777777,24.794770833333335,23.657631944444443,807.2645307655296,782.3971596616095,876.1297365623785,556.4221060087541,921.688750408802,1542.6572642976882,1625.63485950308,14.224980626393943,0.0055959730562952816,283.12077803449057,0.8152667279818318,1.0166665618866049,2.345103884467009,4.012889430901094,16.0,4.0,1.0,3533.0,3287.0,3078.0,2862.0,0.8475135467848576,13957060.7696,0.0,2098.942782450251,0.19652952634905368,1655.0923920734624,2249129.578549456,0.6862713409308144,6.628797938251534,8.208308592148592,2.625469801282407,0.0023891259053477527,0.0013033339948402463,0.33227159686169694,0.4253559192252614
s0611106,20.14288392857143,645.42,1170.732606395892,0.04,5.79,25.384999999999998,399.15,645.42,435.95,160.36,184.58,625.74,224.97,23.614944444444443,22.622152777777778,24.81736111111111,9.8234375,19.796881944444443,20.281791666666667,20.043618055555555,1481.2809609420115,1363.1429471343904,1939.5289190911915,295.81940367225525,749.9186466295556,1168.8352761483675,1054.689036726845,24.44875937017287,0.006383708611226126,255.81599043047143,1.0046733619105732,1.019331029512307,2.4535898477027414,4.242060870313175,2.0,2.0,2.0,3510.0,3292.0,3072.0,2911.0,0.8673799492484198,15889630.5313,8.1221491470723115e-22,2554.81949049243,0.16179809978085383,1794.2174385196993,2345168.1582702943,0.5362755394908276,7.629991000516195,32.751402323467644,3.8809334588250386,0.0,0.0,0.37864876055525315,0.5531530126037837
s0612205,28.48842162698413,662.19,2096.4280851263106,0.0,4.575,41.23,547.35,161.78,206.79,257.16,662.19,316.77,265.71,31.890270833333332,11.282319444444445,20.741902777777778,30.209708333333335,37.89655555555556,34.70169444444445,32.6965,2481.3856393289648,559.6759698770363,1311.627892415836,1812.7415832366214,3109.4511414284566,2913.5673291629982,1979.5104694649087,85.90326321014523,0.004876037660558552,330.6912034880011,0.9868303151601361,1.0174029742393278,2.3699885559707283,4.073048035267281,2.0,2.0,1.0,3498.0,3334.0,3174.0,3047.0,0.8008748014940047,29310727.551299997,6.760113291658765e-22,2650.3950797947086,0.2860539352845063,1653.071955126495,2330125.5904606553,0.6511187362996166,6.244866101496166,9.929053763611417,2.413347113777571,0.0,-0.00039194284580273866,0.5284288746598873,0.33244807221803685
s0612304,30.35500198412699,498.5,2245.460628852065,0.0,6.04,44.59,466.89,350.3,498.5,317.44,441.02,265.6,373.89,35.86217361111111,32.29694444444444,20.753097222222223,28.612166666666663,36.14078472222222,27.718381944444445,31.101465277777777,2905.1981214013886,2258.6930801636922,1601.3632968633715,1922.791961250869,2752.5977196756553,1674.3515961986993,2442.1544708883016,28.386397403930587,0.005962355605402376,272.9841965122018,0.9866843529763765,1.0176007436809629,2.366046808170765,4.0664142938607135,6.0,3.0,2.0,3638.0,3459.0,3296.0,3137.0,0.8731936871602063,31919973.2244,3.876503299855234e-18,3380.0093194694005,0.24733560758335843,1806.727306516761,2345894.588804102,0.5323920038874468,7.795093513936874,7.176925738415584,2.266376281474415,-0.01117868836194067,0.0050322484619964285,0.4541617239655813,0.5047925137737397
s0708204,24.498330357142855,436.7,1420.7174632999215,0.0,8.04,33.8825,347.36,272.55,192.42,229.1,289.94,327.36,436.7,26.606402777777777,19.72947222222222,24.696833333333334,20.684493055555553,21.38008333333333,30.595326388888886,27.795701388888887,1781.8563948341828,1130.841809589221,1127.784494899236,916.0070222584648,1268.7719997150798,1712.8619345702546,1913.2129674020825,16.590036078299526,0.006092225172680683,262.9824181769655,0.8950600770290336,1.0184155777486399,2.4151236082731,4.173569298494101,7.0,2.0,1.0,3812.0,3566.0,3342.0,3147.0,0.8765723705106677,20369106.6707,2.3474956441320662e-27,2760.5283022638982,0.20628561112936986,1766.6027580580658,2290984.0032139025,0.5937839066307705,7.645650892992677,9.547466815381792,2.552327556064677,0.00845520388927473,0.002313951180789839,0.361185723555948,0.5321808516593535
s0709213,26.575536706349208,718.26,1976.1928001484685,0.0,9.23,36.8425,238.93,528.03,239.87,718.26,218.69,249.44,338.37,23.875416666666666,36.97448611111111,15.291291666666666,37.513687499999996,29.217243055555556,21.215631944444443,21.941,1237.173815253649,3610.9999831964715,873.399589991313,4094.555275691015,1350.8212697393537,1041.1634736795916,1213.5922184572619,69.93204130439355,0.005419185838946295,293.59027413766944,0.9444867880960212,1.0185628932746489,2.4139023573378307,4.174641834641412,11.0,6.0,3.0,3880.0,3646.0,3423.0,3223.0,0.8498219429766086,27037139.477099996,2.5523209724307218e-30,2822.7266889835437,0.1958464525449287,1623.7047522240175,2266058.45580661,0.7081162376090003,6.267512466519625,47.049828190705064,4.9823253872111986,-0.016312134140291694,0.0015280809684461208,0.3934023486671378,0.400028470041004
s0808209,28.52927083333333,699.43,2425.1087269313057,0.08,7.925,30.9325,311.83,309.1,699.43,348.72,181.4,293.2,417.63,33.76275,31.88266666666667,20.57942361111111,35.87863194444445,13.543291666666667,26.46375,37.59438194444445,2324.3998855524674,2593.6153600833914,1917.296645046275,3516.582951080551,653.440087003127,2014.5575969075749,3498.785829221631,77.8116557924383,0.005235401028569872,304.8790674428645,0.9200238404014336,1.0198296371550195,2.4811726338587112,4.307892678338924,1.0,1.0,1.0,3193.0,2980.0,2792.0,2645.0,0.8149788184592318,32646977.345099993,1.7018734666996623e-27,3002.9549465984333,0.15293224051744936,1639.7128473074708,2299932.0797356204,0.6784721436252187,6.270083043372815,11.277357588515661,2.8487682122485323,-0.0037116777458081154,-0.0011951776146060732,0.47629957746225055,0.3689342487740157
s1009302,29.631553571428572,333.59,1909.0144810071506,0.0,8.9,42.765,333.59,191.25,273.18,279.73,288.55,322.78,256.33,32.351708333333335,21.388034722222223,28.825763888888886,33.726215277777776,30.83198611111111,31.803243055555555,28.49392361111111,2311.281050449967,956.5923768855205,2069.3805257538033,2192.4974881676603,2002.9633624181513,1790.7766961465788,1947.2781030796407,16.703645312045303,0.005404041891546678,295.9653977243667,1.0116486576316193,1.0184458085693917,2.416123448578747,4.174029575130305,21.0,9.0,2.0,3798.0,3552.0,3370.0,3205.0,0.8676199587586522,28091488.942,6.978638533159719e-25,2875.4664600026204,0.2323248915007145,1720.3370322627875,2297765.744127505,0.612061875864239,7.071601824522848,4.154284123708157,1.9840621593240433,-0.0029824387340013888,-0.00013544354038499688,0.4690582125821925,0.4297243314008123
s1010203,19.59897123015873,250.73,847.1123557924058,0.0,9.3,25.9025,223.53,220.53,250.73,200.49,171.08,205.27,205.79,21.679590277777777,19.24723611111111,22.567354166666668,16.396805555555556,18.65913888888889,18.195006944444444,20.447666666666667,819.9253800265893,909.8522675467143,1202.3559274630825,693.9212373214417,566.5101572843803,830.2607727588119,883.3814684920102,4.5154233283087155,0.005573669649474114,282.2416916487413,0.9432698250742282,1.0188005476649213,2.434091760719453,4.215516632412706,39.0,13.0,2.0,4212.0,3855.0,3520.0,3254.0,0.86821950269727,12409971.740699999,3.6415690575021664e-29,1971.318879379995,0.10627381025355379,1670.0714463246402,2210053.91941926,0.676741043269937,6.981957468507664,9.42270051778377,2.6765787769815184,-3.174918146641532e-05,1.5876165905933717e-05,0.3795702199006129,0.4551507899817989
s1020401,37.19475595238095,561.77,1954.137580970299,0.05,21.36,59.525000000000006,241.7,211.65,367.72,226.08,184.39,561.77,257.82,34.20079166666667,33.242222222222225,49.34001388888888,27.64929861111111,30.68548611111111,50.20972916666666,35.03575,1713.2044537161205,1571.2783416879017,3088.556520917109,1173.0415154910324,1503.2878482694387,2346.6139626090185,1811.1641942946499,79.93846992799038,0.005171740672833527,309.7626475244414,1.0812340345790832,1.0187364571939403,2.433097797555967,4.191226509767923,2.0,1.0,1.0,4626.0,4316.0,4039.0,3758.0,0.8692572397616644,33640927.3718,9.428265627658878e-25,3011.6256379238107,0.21133644396996246,1725.0491673980991,2310567.885353079,0.6100887568437167,7.076327806940448,4.924446002533782,1.6931684452276738,0.0,0.0,0.469714023218313,0.4604997397664756
s1308106,46.94712499999999,558.07,5553.10833006077,0.0,10.04,68.3625,527.61,536.31,431.74,426.91,395.27,421.33,558.07,49.10286111111111,49.7870625,31.961111111111112,47.349701388888896,38.46084027777778,45.533361111111105,66.4349375,6563.082985692998,6587.945071212206,3469.1632294803508,5343.347659049054,3285.8025361245786,5696.803174379584,7257.041603748691,115.20761932780351,0.0050018565358690035,320.0177357491071,1.0265747135981125,1.0177223132270534,2.38358390405471,4.098664252032685,43.0,12.0,3.0,3662.0,3497.0,3339.0,3191.0,0.8096368955518878,78186426.92000002,1.4355299063014663e-28,4440.452005775989,0.17840768791500428,1623.416008712152,2295123.5098046,0.7048742549808911,6.149868850372519,6.2197278048104,2.317522336418087,0.006135529318384761,0.0014715221274062317,0.4758079081695879,0.3522903684394536
s1309216,33.25253373015873,461.02,2060.866987805193,0.0,12.225000000000001,50.7575,307.86,461.02,338.29,308.33,381.46,211.4,265.8,38.15970138888889,33.159875,35.73585416666666,27.52590277777778,36.523180555555555,32.98039583333333,28.682826388888888,2622.801351752325,2550.1292422359297,2530.280625677118,1653.5684364325152,1947.7659259437498,1463.2521660002596,1572.0947902686573,15.78391290042162,0.005103873332377942,310.4314138288691,0.9167341843763015,1.0187779307435916,2.4276655689302453,4.190976817058376,3.0,2.0,1.0,4025.0,3793.0,3576.0,3355.0,0.8416900710672494,31917246.844800003,4.7624697092093193e-26,2894.961982479217,0.2028431074401999,1637.2769082913599,2251817.8281701985,0.6970605611722129,6.459250126163754,4.0150965674972845,1.8240901043895246,0.0,0.0,0.39489881178907593,0.4034765716083345
s1408101,43.314816468253966,780.77,4837.647334662215,0.54,17.63,50.8425,625.59,691.23,780.77,671.09,637.9,407.58,726.33,33.00830555555555,60.84359027777778,52.701097222222224,38.184194444444444,41.766868055555555,30.283888888888892,46.41577083333334,3188.7091714145604,6705.946493355282,6975.0360345145245,3848.2094673144925,5039.826199704607,2409.9123091189904,5005.844568689623,118.28746050731189,0.006517770417066057,250.85052531600462,0.9891913974915995,1.0192521447662692,2.440103841716299,4.219356824885755,23.0,14.0,4.0,3669.0,3343.0,3085.0,2836.0,0.8613095737590278,67670474.6089,2.1490592418871702e-26,5383.050090162639,0.09384364718845058,1810.941822542429,2346412.285875806,0.5094489401361081,7.815529383908325,18.351274316420138,3.441257202351543,0.006064093660085325,-0.007546140107164119,0.3617675310692848,0.5942992631508955
s1510114,33.30464682539682,597.06,1941.8900924439627,0.21,18.43,48.74,380.36,441.12,422.65,438.91,331.9,313.7,597.06,31.743027777777776,30.617743055555557,52.985479166666664,40.23509722222222,27.3313125,20.80182638888889,29.418041666666667,2227.9540920075656,1520.137953554504,3207.614582814024,1638.8045740002713,1439.2475376090165,1174.1212588579554,1740.8629443207085,108.68855862611605,0.0055704818990621454,286.05639658192206,0.9443267505661839,1.018985120198869,2.4416648306832975,4.222587914104786,4.0,1.0,1.0,4567.0,4273.0,3976.0,3715.0,0.8649741887440549,30753041.2034,2.1688235692174945e-28,3101.4663136329564,0.1459986817432813,1709.8247871131516,2259855.662455867,0.6355166319393425,7.150817614917546,12.204054989205467,2.6684606278675487,0.0,-0.001265131970629093,0.3654247120554192,0.4914643787980097
s1709105,17.050453373015873,277.3,634.246152021836,0.0,8.65,21.51,191.05,210.77,243.54,277.3,107.55,225.59,126.59,20.341055555555556,17.4318125,21.662736111111112,17.93982638888889,12.819173611111111,15.829743055555557,13.328826388888888,953.5948329364539,715.2795796868489,922.5224815981396,652.9159148412764,284.42125887185347,565.3677722063445,281.9376881977741,11.0470005727674,0.005932655478187395,266.24523121667613,0.9250946714990329,1.0185100280623403,2.405721438523782,4.136769199602875,5.0,3.0,1.0,4212.0,3805.0,3448.0,3136.0,0.876962194790179,9323004.0053,2.2323927926891534e-29,1818.684351969852,0.1129555106269452,1709.270679481103,2219644.4646852217,0.6454171889878259,7.3556309925168994,9.722954295217047,2.691223338957653,0.001965472765155273,0.00033091883310180584,0.32119043640089306,0.5174154278827442
s1709111,23.489515873015872,636.21,1748.9179392040342,0.0,4.13,29.08,565.53,636.21,218.2,543.52,245.49,509.61,246.35,25.775465277777776,28.069937499999998,22.770138888888887,23.123520833333334,25.270527777777776,25.346666666666664,14.070354166666668,1649.8916667743313,2192.7595155624545,1305.4793132538023,2403.9203743220087,1504.660523696236,2005.6888981236973,1065.0336831962295,20.366483717009285,0.005322572644442683,291.4848145754412,0.897457314989252,1.0174029742393278,2.3643233544590867,4.056258910969427,11.0,6.0,1.0,3486.0,3290.0,3080.0,2882.0,0.8096504387752123,23189058.057200003,8.24681856042509e-28,2573.1542356998343,0.09347806709677718,1587.6401979961197,2168595.695650316,0.7449304822051503,6.377230738033464,28.033129500700035,3.785071234667255,-0.002878261732314714,-2.9271680889065285e-05,0.37982546118208294,0.37561658493712474
s1709113,17.644054563492062,358.29,990.6635219753935,0.0,5.945,20.255,288.35,355.16,193.72,289.52,358.29,163.88,229.31,23.28828472222222,24.647388888888887,16.474965277777777,22.650826388888888,18.624069444444444,8.038479166666667,9.784368055555555,1203.9191576534138,1911.6812212524121,689.3565822086618,1067.2170901435722,1310.656369807544,249.57553423862046,243.84628452045237,43.723456583597404,0.006135805067661031,265.7689961501775,0.9569051001618829,1.018177288609491,2.4033980017024534,4.144890377755415,11.0,5.0,2.0,3604.0,3327.0,3076.0,2818.0,0.8668403554277819,13122929.265300002,4.785108968155715e-22,2231.5342294932425,0.14518147964622452,1775.0424328143035,2369714.2094006366,0.5369265968690022,7.286570802274898,16.53227517859123,3.464527712527595,-0.001674769322353408,0.0006266124230998214,0.4527602691233554,0.498727698364512
